Circuito,Compuesto,Estado de pista,Duración Estimada (Vueltas),Dif. con C3 (s),Dif. con C2 (s),Dif. con C1 (s),Dif. con CI (s),Dif. con CW (s)
GP de Australia 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Australia 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Australia 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Australia 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Australia 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Australia 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Australia 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de Australia 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Australia 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Australia 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Australia 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de Australia 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Australia 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Australia 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Australia 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de China 2025,C3,Seco,26.52631578947368,0.0,-0.479,-0.718,-4.26,-5.905
GP de China 2025,C3,Lluvia,21.614035087719298,0.0,0.0,0.0,10.946,9.594999999999999
GP de China 2025,C3,Lluvia Extrema,19.64912280701754,0.0,0.0,0.0,12.469999999999999,14.527
GP de China 2025,C2,Seco,35.368421052631575,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de China 2025,C2,Lluvia,21.614035087719298,0.0,0.0,0.0,10.946,9.594999999999999
GP de China 2025,C2,Lluvia Extrema,19.64912280701754,0.0,0.0,0.0,12.469999999999999,14.527
GP de China 2025,C1,Seco,40.280701754385966,0.718,0.239,0.0,-3.542,-5.187
GP de China 2025,C1,Lluvia,21.614035087719298,0.0,0.0,0.0,10.946,9.594999999999999
GP de China 2025,C1,Lluvia Extrema,19.64912280701754,0.0,0.0,0.0,12.469999999999999,14.527
GP de China 2025,CI,Seco,21.614035087719298,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de China 2025,CI,Lluvia,21.614035087719298,-10.946,-10.946,-10.946,0.0,-1.351
GP de China 2025,CI,Lluvia Extrema,19.64912280701754,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de China 2025,CW,Seco,19.64912280701754,5.905,5.426,5.187,1.6450000000000005,0.0
GP de China 2025,CW,Lluvia,19.64912280701754,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de China 2025,CW,Lluvia Extrema,19.64912280701754,-14.527,-14.527,-14.527,-2.057,0.0
GP de Japón 2025,C3,Seco,25.105263157894736,0.0,-0.479,-0.718,-4.26,-5.905
GP de Japón 2025,C3,Lluvia,20.45614035087719,0.0,0.0,0.0,10.946,9.594999999999999
GP de Japón 2025,C3,Lluvia Extrema,18.596491228070175,0.0,0.0,0.0,12.469999999999999,14.527
GP de Japón 2025,C2,Seco,33.473684210526315,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Japón 2025,C2,Lluvia,20.45614035087719,0.0,0.0,0.0,10.946,9.594999999999999
GP de Japón 2025,C2,Lluvia Extrema,18.596491228070175,0.0,0.0,0.0,12.469999999999999,14.527
GP de Japón 2025,C1,Seco,38.12280701754386,0.718,0.239,0.0,-3.542,-5.187
GP de Japón 2025,C1,Lluvia,20.45614035087719,0.0,0.0,0.0,10.946,9.594999999999999
GP de Japón 2025,C1,Lluvia Extrema,18.596491228070175,0.0,0.0,0.0,12.469999999999999,14.527
GP de Japón 2025,CI,Seco,20.45614035087719,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Japón 2025,CI,Lluvia,20.45614035087719,-10.946,-10.946,-10.946,0.0,-1.351
GP de Japón 2025,CI,Lluvia Extrema,18.596491228070175,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Japón 2025,CW,Seco,18.596491228070175,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Japón 2025,CW,Lluvia,18.596491228070175,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Japón 2025,CW,Lluvia Extrema,18.596491228070175,-14.527,-14.527,-14.527,-2.057,0.0
GP de Baréin 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Baréin 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Baréin 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
